tokenizer_family,model_name,tokenizer_path,tokenizer_mode,language,length_label,input_chars,worker_processes,chunk_count,chunk_chars,overlap_chars,chat_template_time_ms,mp_dispatch_process_collect_time_ms,chunk_dedup_time_ms,lopt_e2e_time_ms,native_e2e_time_ms,native_tokenizer_time_ms,native_output_tokens,native_token_hash,lopt_output_tokens,lopt_token_hash,exact_match,fallback_used,fallback_serial_time_ms,fallback_token_hash,error_message,candidate_status,actual_chunk_count,e2e_speedup_x,tokenizer_speedup_x,tokenizer_time_drop_pct
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,1,1,1024,512,0.0,0.802,0.0,0.802,3.877,3.645,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,1,4.834,4.545,77.997
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,2,2,512,128,0.0,0.605,0.081,0.686,3.877,3.645,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,2,5.652,6.025,83.402
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,4,1,1024,512,0.0,0.744,0.0,0.744,3.877,3.645,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,1,5.211,4.899,79.588
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,1,4096,1024,0.0,2.54,0.0,2.54,5.953,5.558,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,1,2.344,2.188,54.3
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,2,2,2048,64,0.0,1.523,0.227,1.75,5.953,5.558,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,2,3.402,3.649,72.598
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,4,4,1024,64,0.0,1.084,0.343,1.427,5.953,5.558,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,4,4.172,5.127,80.497
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,8,1,4096,2048,0.0,2.659,0.0,2.659,5.953,5.558,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,1,2.239,2.09,52.159
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,8k,8192,1,1,8192,2048,0.0,4.647,0.0,4.647,8.959,8.516,1714,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567,1714,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567,True,False,,,,valid,1,1.928,1.833,45.432
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,8k,8192,2,2,4096,64,0.0,2.632,0.494,3.126,8.959,8.516,1714,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567,1714,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567,True,False,,,,valid,2,2.866,3.236,69.093
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,8k,8192,4,1,8192,4096,0.0,4.754,0.0,4.754,8.959,8.516,1714,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567,1714,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567,True,False,,,,valid,1,1.885,1.791,44.176
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,16k,16384,1,1,16384,4096,0.0,9.123,0.0,9.123,13.097,12.679,3350,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,3350,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,True,False,,,,valid,1,1.436,1.39,28.046
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,16k,16384,2,2,8192,128,0.0,4.994,0.899,5.893,13.097,12.679,3350,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,3350,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,True,False,,,,valid,2,2.222,2.539,60.612
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,16k,16384,4,4,4096,64,0.0,2.993,1.163,4.156,13.097,12.679,3350,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,3350,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,True,False,,,,valid,4,3.151,4.236,76.394
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,16k,16384,8,8,2048,32,0.0,5.366,1.471,6.837,13.097,12.679,3350,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,3350,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,True,False,,,,valid,8,1.916,2.363,57.678
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,32k,32768,1,1,32768,8192,0.0,18.197,0.0,18.197,22.022,21.585,6816,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,6816,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,True,False,,,,valid,1,1.21,1.186,15.696
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,32k,32768,2,2,16384,64,0.0,9.893,1.737,11.63,22.022,21.585,6816,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,6816,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,True,False,,,,valid,2,1.894,2.182,54.167
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,32k,32768,4,8,4096,32,0.0,7.388,2.723,10.111,22.022,21.585,6816,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,6816,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,True,False,,,,valid,8,2.178,2.922,65.773
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,32k,32768,8,8,4096,64,0.0,7.471,2.89,10.361,22.022,21.585,6816,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,6816,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,True,False,,,,valid,8,2.125,2.889,65.388
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,64k,65536,1,1,65536,2048,0.0,36.874,0.0,36.874,40.253,39.58,13744,b119b5d6106eb458e20ef9b900032ce40c25ea160a34917360cfa719083685e0,13744,b119b5d6106eb458e20ef9b900032ce40c25ea160a34917360cfa719083685e0,True,False,,,,valid,1,1.092,1.073,6.837
