tokenizer_family,model_name,tokenizer_path,tokenizer_mode,language,length_label,input_chars,worker_processes,chunk_count,chunk_chars,overlap_chars,chat_template_time_ms,dispatch_submit_time_ms,dispatch_collect_time_ms,mp_dispatch_process_collect_time_ms,chunk_dedup_time_ms,worker_encode_time_ms_sum,worker_encode_time_ms_max,worker_materialize_time_ms_sum,worker_materialize_time_ms_max,lopt_e2e_time_ms,native_e2e_time_ms,native_tokenizer_time_ms,native_output_tokens,native_token_hash,lopt_output_tokens,lopt_token_hash,exact_match,fallback_used,fallback_serial_time_ms,fallback_token_hash,error_message,candidate_status,actual_chunk_count,e2e_speedup_x,tokenizer_speedup_x,tokenizer_time_drop_pct
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1024k,1048576,4,8,131072,128,0.0,0.11,158.86,158.97,1.356,579.893,76.811,6.269,0.841,160.326,656.513,651.942,220881,1c25c838cdb3e0a3dc9c22cdbbedd1095178f830f036cd16c2cb4e811e1a0b99,220881,1c25c838cdb3e0a3dc9c22cdbbedd1095178f830f036cd16c2cb4e811e1a0b99,True,False,,,,valid,8,4.095,4.101,75.616
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,1k,1024,2,2,512,64,0.0,0.031,1.061,1.092,0.051,1.299,0.676,0.057,0.029,1.143,43.15,42.55,552,387164bbe776e80919c8a3fa5e5a0652e696c787b6182870ce56c60f21ec1e5f,552,387164bbe776e80919c8a3fa5e5a0652e696c787b6182870ce56c60f21ec1e5f,True,False,,,,valid,2,37.752,38.965,97.434
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,4k,4096,2,2,2048,32,0.0,0.043,2.754,2.797,0.051,4.261,2.163,0.092,0.049,2.848,26.043,25.458,2352,a935e043487c4feccfe1b55c18bd0f6b9be113f7d5e5c2e247b3a912776c1a2a,2352,a935e043487c4feccfe1b55c18bd0f6b9be113f7d5e5c2e247b3a912776c1a2a,True,False,,,,valid,2,9.144,9.102,89.013
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,8k,8192,2,2,4096,64,0.0,0.04,5.096,5.136,0.073,8.544,4.33,0.147,0.075,5.209,22.058,21.43,4690,9c2efb7a0dfdf826de685e494791eda236be15b2d55a656acc8f408218dd2651,4690,9c2efb7a0dfdf826de685e494791eda236be15b2d55a656acc8f408218dd2651,True,False,,,,valid,2,4.235,4.173,76.034
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,16k,16384,8,16,1024,32,0.0,0.224,7.091,7.315,0.807,20.138,2.274,0.545,0.05,8.122,37.591,36.924,9364,f062cb30b9d8b42fa87087d43d1cb220a7316dc201ec14079190bc954c116a07,9364,f062cb30b9d8b42fa87087d43d1cb220a7316dc201ec14079190bc954c116a07,True,False,,,,valid,16,4.628,5.048,80.189
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,32k,32768,8,8,4096,64,0.0,0.157,11.167,11.324,0.453,36.76,4.968,0.652,0.085,11.777,65.826,64.911,18729,47b9be46c47794c37256511cbeface33803efa4d896a9f0b4737add404073689,18729,47b9be46c47794c37256511cbeface33803efa4d896a9f0b4737add404073689,True,False,,,,valid,8,5.589,5.732,82.555
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,64k,65536,8,16,4096,32,0.0,0.217,20.336,20.553,1.047,69.586,4.775,1.186,0.081,21.6,104.808,102.941,37465,e307449f85db241feb84fc8fdf31b3f74ab8ef6b861e99058875e3d2c7308e23,37465,e307449f85db241feb84fc8fdf31b3f74ab8ef6b861e99058875e3d2c7308e23,True,False,,,,valid,16,4.852,5.009,80.034
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,128k,131072,8,32,4096,32,0.0,0.397,39.796,40.193,1.282,138.46,4.492,2.518,0.09,41.475,187.106,183.577,74976,fb06951794fe86535ff8c60311e0681b2ce9b56c42e7625486c477db3e3c13ab,74976,fb06951794fe86535ff8c60311e0681b2ce9b56c42e7625486c477db3e3c13ab,True,False,,,,valid,32,4.511,4.567,78.106
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,256k,262144,4,4,65536,512,0.0,0.08,81.123,81.203,1.604,282.973,71.717,4.122,1.107,82.807,414.688,409.481,150013,e1945a60c71d2c1b2cf51721e32ed654835765d655e8cd62a41904df898aa67e,150013,e1945a60c71d2c1b2cf51721e32ed654835765d655e8cd62a41904df898aa67e,True,False,,,,valid,4,5.008,5.043,80.169
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,512k,524288,32,128,4096,128,0.0,3.476,107.748,111.223,9.684,678.553,13.558,13.844,0.177,120.907,800.004,793.773,300018,9bb1c68462b356abdd9842cbc3d0018118d2ba3401f9bc43267744f8011cad7c,300018,9bb1c68462b356abdd9842cbc3d0018118d2ba3401f9bc43267744f8011cad7c,True,False,,,,valid,128,6.617,7.137,85.988
